model,treatment,slice,n,abstain,CE,Sharpe
gpt-5.4-mini,compiled,band_thick,1224,1.0,0.0,0.0
gpt-5.4-mini,compiled,band_thin,776,1.0,0.0,0.0
gpt-5.4-mini,ungated,band_thick,1224,0.5776,0.4159,1.936
gpt-5.4-mini,ungated,band_thin,776,0.8054,0.0999,1.0
gpt-5.4-mini,raw,band_thick,1224,0.0,-0.282,-0.246
gpt-5.4-mini,raw,band_thin,776,0.0,0.8977,3.529
deepseek-v4-flash,compiled,band_thick,1224,1.0,0.0,0.0
deepseek-v4-flash,compiled,band_thin,776,1.0,0.0,0.0
deepseek-v4-flash,ungated,band_thick,1224,0.4232,0.2077,0.92
deepseek-v4-flash,ungated,band_thin,776,0.7229,0.3384,1.637
deepseek-v4-flash,raw,band_thick,1196,0.7483,0.0444,0.481
deepseek-v4-flash,raw,band_thin,729,0.7476,0.2196,2.48
glm-5.2,compiled,band_thick,1224,1.0,0.0,0.0
glm-5.2,compiled,band_thin,776,1.0,0.0,0.0
glm-5.2,ungated,band_thick,932,0.5815,0.242,1.01
glm-5.2,ungated,band_thin,470,0.8723,0.0896,0.75
glm-5.2,raw,band_thick,398,0.0854,-0.8681,-1.279
glm-5.2,raw,band_thin,277,0.0614,0.6066,1.896
gemini-3.5-flash-lite,compiled,band_thick,1224,1.0,0.0,0.0
gemini-3.5-flash-lite,compiled,band_thin,776,1.0,0.0,0.0
gemini-3.5-flash-lite,ungated,band_thick,1224,0.3366,0.3078,1.125
gemini-3.5-flash-lite,ungated,band_thin,776,0.393,0.0556,0.525
gemini-3.5-flash-lite,raw,band_thick,1224,0.0,-0.254,0.027
gemini-3.5-flash-lite,raw,band_thin,776,0.0,0.9183,3.039
