model,treatment,n,abstain,thin_n,thin_abstain,thin_ci,CE,Sharpe,ann_return,ear_proxy,mix_abstain,mix_bullish,mix_bearish,mix_neutral
gpt-5.4-mini,compiled,2000,1.0,2000,1.0,"[0.9981, 1.0]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gpt-5.4-mini,ungated,2000,0.666,2000,0.666,"[0.645, 0.6863]",0.402,1.927,0.4579,1.0,0.666,0.022,0.2245,0.0875
gpt-5.4-mini,raw,2000,0.0,2000,0.0,"[0.0, 0.0019]",-0.0976,0.167,0.0673,1.0,0.0,0.254,0.471,0.275
deepseek-v4-flash,compiled,2000,1.0,2000,1.0,"[0.9981, 1.0]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
deepseek-v4-flash,ungated,2000,0.5395,2000,0.5395,"[0.5176, 0.5612]",0.3484,1.263,0.5206,1.0,0.5395,0.0265,0.387,0.047
deepseek-v4-flash,raw,1925,0.7481,1925,0.7481,"[0.7282, 0.7669]",0.0333,0.444,0.0423,1.0,0.7481,0.1309,0.0748,0.0462
glm-5.2,compiled,2000,1.0,2000,1.0,"[0.9981, 1.0]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
glm-5.2,ungated,1402,0.679,1402,0.679,"[0.6541, 0.7029]",0.2229,0.976,0.3711,1.0,0.679,0.01,0.301,0.01
glm-5.2,raw,675,0.0756,675,0.0756,"[0.0579, 0.098]",-0.2761,-0.125,-0.0581,1.0,0.0756,0.3911,0.5319,0.0015
gemini-3.5-flash-lite,compiled,2000,1.0,2000,1.0,"[0.9981, 1.0]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gemini-3.5-flash-lite,ungated,2000,0.3585,2000,0.3585,"[0.3378, 0.3798]",0.3267,1.157,0.5751,1.0,0.3585,0.035,0.5765,0.03
gemini-3.5-flash-lite,raw,2000,0.0,2000,0.0,"[0.0, 0.0019]",-0.2019,0.101,0.0506,1.0,0.0,0.418,0.582,0.0
