model,treatment,slice,n,abstain,CE,Sharpe,ann_return
gpt-5.4-mini,compiled,all,100,0.32,-2.584,-2.512,-1.9359
gpt-5.4-mini,compiled,open,70,0.0286,-4.0041,-3.318,-3.077
gpt-5.4-mini,compiled,closed,30,1.0,0.0,0.0,0.0
gpt-5.4-mini,ungated,all,100,0.29,-1.6702,-1.738,-1.1841
gpt-5.4-mini,ungated,open,70,0.0429,-2.4224,-2.07,-1.7123
gpt-5.4-mini,ungated,closed,30,0.8667,-0.0875,-2.16,-0.0859
gpt-5.4-mini,raw,all,100,0.0,-0.2195,0.396,0.2748
gpt-5.4-mini,raw,open,70,0.0,0.0877,0.933,0.755
gpt-5.4-mini,raw,closed,30,0.0,-0.4937,-0.803,-0.3305
deepseek-v4-flash,compiled,all,100,0.47,-3.5534,-3.893,-2.9335
deepseek-v4-flash,compiled,open,70,0.2429,-5.222,-4.842,-4.3514
deepseek-v4-flash,compiled,closed,30,1.0,0.0,0.0,0.0
deepseek-v4-flash,ungated,all,100,0.34,-2.9098,-2.804,-2.2269
deepseek-v4-flash,ungated,open,70,0.1143,-4.037,-3.196,-3.0578
deepseek-v4-flash,ungated,closed,30,0.8667,-0.3719,-5.321,-0.3673
deepseek-v4-flash,raw,all,100,0.84,-0.2002,-0.808,-0.1618
deepseek-v4-flash,raw,open,70,0.8143,-0.2056,-0.641,-0.152
deepseek-v4-flash,raw,closed,30,0.9,-0.1721,-4.553,-0.1707
glm-5.2,compiled,all,100,0.38,-2.8011,-2.652,-2.112
glm-5.2,compiled,open,70,0.1143,-4.3079,-3.475,-3.3255
glm-5.2,compiled,closed,30,1.0,0.0,0.0,0.0
glm-5.2,ungated,all,100,0.36,-2.3586,-2.107,-1.674
glm-5.2,ungated,open,70,0.1,-3.661,-2.826,-2.6894
glm-5.2,ungated,closed,30,0.9667,0.5351,3.821,0.5546
glm-5.2,raw,all,100,0.09,-1.4105,-0.806,-0.6854
glm-5.2,raw,open,70,0.0714,-0.3883,0.515,0.4829
glm-5.2,raw,closed,30,0.1333,-3.0648,-4.075,-2.64
gemini-3.5-flash-lite,compiled,all,100,0.35,-2.7766,-2.708,-2.1133
gemini-3.5-flash-lite,compiled,open,70,0.0714,-4.2735,-3.547,-3.3273
gemini-3.5-flash-lite,compiled,closed,30,1.0,0.0,0.0,0.0
gemini-3.5-flash-lite,ungated,all,100,0.41,-3.2765,-3.429,-2.6336
gemini-3.5-flash-lite,ungated,open,70,0.2143,-4.718,-4.148,-3.8093
gemini-3.5-flash-lite,ungated,closed,30,0.8667,-0.2688,-5.605,-0.2666
gemini-3.5-flash-lite,raw,all,100,0.0,-1.3219,-0.615,-0.5426
gemini-3.5-flash-lite,raw,open,70,0.0,-0.4569,0.497,0.4844
gemini-3.5-flash-lite,raw,closed,30,0.0,-2.6354,-3.311,-2.1923
